WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
abart,"-1,6","0,6992059","1,4762","0,98076744","1,7143","1,0556","1,7143","1,1019","1,8095","0,9284","2,4762","1,3645"
abbau,-1,"1,1697953","1,25","0,7163504","2,4","1,1425","2,35","1,2258","2,3","1,4179","1,5","0,8272"
abbild,"-0,2","0,63245553","1,8636","1,03718734","1,4545","1,0108","1,2273","0,5284","1,3636","0,9021","1,3182","0,9455"
abbruch,"-0,7","1,15950181","1,1","0,30779351","2,55","1,3169","1,7","0,9234","2,15","1,268","1,2","0,6959"
abdruck,"-0,1","0,31622777","1,4","0,75393703","1,2","0,5231","1,1","0,4472",1,0,1,0
abend,"1,65","0,933302","3,2","1,15165784","1,35","0,6708","1,75","0,9105","1,5","0,6882","1,2","0,4104"
abendrot,"2,4","0,6992059","3,85","1,08942283",1,0,"1,6","1,0463",1,0,1,0
abfahrt,"0,3","0,48304589","2,2","1,47255596","1,05","0,2236","1,6","0,9947","1,45","0,7592",1,0
abfall,"-1,7","0,97872097","1,24","0,83066239","1,88","0,9274","1,16","0,5538","1,16","0,5538","3,12","1,481"
abflug,"0,7","0,8232726","2,1","1,25236618","1,6","0,8826","1,8","0,9515","1,9","1,1653","1,25","0,6387"
abfuhr,"-1,35","1,08942283","1,0909","0,42640143","3,0909","1,342","2,2273","1,1925","2,0909","1,1088","1,4091","0,7964"
abgang,"-0,95","1,05006265","1,5417","1,10253331","1,4583","0,779","1,7083","1,0417","1,375","0,7109","1,25","0,6757"
abgas,"-2,05","0,88704121","1,1905","0,51176632","2,9524","1,322","1,9048","1,2209","2,4286","1,165","3,2381","1,4108"
abgrund,"-1,4","0,51639778","1,3","0,97872097","1,5","0,8885","1,8","1,105",3,"1,451","1,25","0,5501"
abhang,"-0,5","0,52704628","1,6522","1,22877232","1,5217","0,9941","1,2609","0,5408","2,8261","1,3702","1,1739","0,5762"
abhilfe,"0,8","0,63245553","2,1","1,33377186","1,2","0,5231","1,2","0,5231","1,25","0,4443","1,1","0,3078"
abitur,"0,8","0,91893658","3,2727","1,38639025","1,5455","0,8579","1,1818","0,5885","1,7273","1,0771","1,1364","0,4676"
abkehr,"-0,6","0,6992059","1,0455","0,21320072","2,2727","1,2025","1,7273","0,9847","1,6364","0,7895","1,0909","0,2942"
ablauf,0,0,"1,4","0,70710678","1,28","0,5416","1,2","0,5","1,36","0,6377","1,24","0,8307"
ableger,"0,1","0,56764621","1,7","1,12857619","1,05","0,2236","1,05","0,2236","1,05","0,2236","1,2","0,4104"
abort,"-0,9","1,197219","1,15","0,36634755","1,95","1,3563","2,15","1,4609","2,35","1,6311","2,9","1,4105"
abreise,"-0,3","0,8232726","2,3","1,45457536","1,2","0,4104","2,1","1,1192","1,45","0,9445","1,05","0,2236"
absage,-2,"0,66666667","1,2917","0,90789612","3,375","1,2091","2,5417","1,4136","2,2083","1,1025","1,0833","0,4082"
absatz,"-0,0882353","0,86576808","1,8333","1,23944822","1,5417","0,9771","1,2083","0,833","1,2917","0,6241","1,0833","0,2823"
abscheu,"-2,1","0,87559504","1,25","0,91046547","2,75","1,3717","1,7","0,9787","2,1","1,2937",3,"1,556"
abschied,"-2,1","0,73786479","1,05","0,2236068","1,6","0,9947","3,7","1,1743","2,35","1,4244",1,0
absender,0,"0,47140452","1,4","0,68055705","1,1","0,3078","1,05","0,2236","1,15","0,4894",1,0
absicht,"0,6","0,96609178","1,65","0,67082039","1,6","0,8208","1,15","0,4894","1,3","0,5712","1,05","0,2236"
abstand,"-0,3529412","1,20308575","1,55","1,27630222","1,6","0,9403","1,45","0,887","1,55","1,0501","1,1","0,4472"
abstieg,"-1,4","0,84327404","1,05","0,2236068","2,1","1,1653",2,"1,2566","2,15","1,268","1,05","0,2236"
absturz,-2,"0,81649658","1,2","0,89442719","1,8","0,9515","2,4","1,3534","3,25","1,3717","1,25","0,5501"
abtei,0,"0,81649658","1,7","1,03109548","1,4","0,9947","1,45","0,9987","1,3","0,7327","1,25","0,4443"
abteil,"-0,15","0,933302","1,5","0,91287093","1,1818","0,5885","1,1364","0,4676","1,0909","0,4264","1,2273","0,6119"
abwasser,"-1,2","0,42163702","1,05","0,2236068","1,7","1,2183","1,2","0,6959","1,25","0,7164","3,25","1,2927"
abweg,"-0,95","0,68633274","1,55","1,09904265","2,45","1,191","1,6","0,8826","2,3","1,0809","1,2","0,4104"
abwehr,"-0,7","1,05934991","1,3182","0,71623112","2,1364","1,2069","1,2727","0,7025","1,8636","1,0821","1,0909","0,2942"
abwurf,"-0,3","0,67494856","1,36","0,90737717","1,44","0,9609","1,16","0,3742","1,6","1,0408","1,36","0,8602"
abzug,"-0,5","0,84983659","1,2857","0,56061191","2,5714","1,4687","1,7143","1,0071","2,2381","1,0443","1,4286","0,9258"
achse,0,"0,97332853","1,4","0,82078268","1,35","0,6708","1,1","0,3078","1,4","0,5982","1,15","0,4894"
achsel,"-0,45","0,68633274","1,1667","0,48154341","1,125","0,4484","1,0833","0,4082","1,1667","0,5647","2,6667","1,2394"
achtung,"0,6","1,42984071","1,6667","1,15470054","1,1905","0,4024","1,0952","0,4364","1,4286","0,8106",1,0
